"","Species","count"
"1","Artemia franciscana<U+00A0>",14
"2","Asellus aquaticus",14
"3","Barbodes gonionotus",15
"4","Carassius auratus",21
"5","Carassius carassius",20
"6","Ceriodaphnia dubia",116
"7","Chironomus riparius",45
"8","Chlamydomas reinhardtii",20
"9","Chlamydomonas reinhardtii",5
"10","Chlorella NA",10
"11","Chlorella pyrenoidosa",84
"12","Clarias gariepinus",150
"13","Cyprinus carpio",78
"14","Danio rerio",515
"15","Daphnia galeata",6
"16","Daphnia magna",280
"17","Daphnia pulex",56
"18","Dreissena polymorpha",24
"19","Gammarus duebeni",1
"20","Gammarus fossarum",12
"21","Gammarus pulex",84
"22","Heterocapsa triquetra",2
"23","Hyalella azteca",35
"24","Lemna minor",33
"25","Lumbribulus variegatus",14
"26","Microcystis flos-aquae",48
"27","NA NA",48
"28","Oncorhynchus mykiss",175
"29","Oreochromis niloticus",18
"30","Oryzias latipes",24
"31","Oryzias sinensis",4
"32","Pimephales promelas",26
"33","Pomatoschistus microps",20
"34","Raphidocelis subcapitata",1
"35","Scenedesmus obliquus",20
"36","Sphaerium corneum",14
"37","Tetraselmis chuii",12
"38","Tisochrysis lutea",2
"39","Tubifex NA",14
"40","Zacco temminckii",4
